,GAME_ID,TEAM_ID,SEASON,NICKNAME,CITY,FGM,FGA,FG3M,FG3A,FTM,FTA,FOULS,isWinner
46857,22100282,1610612752.0,2021,Knicks,New York,34.0,92.0,12.0,39.0,17.0,22.0,15.0,1
46858,22100282,1610612756.0,2021,Suns,Phoenix,44.0,79.0,13.0,28.0,17.0,21.0,11.0,1
46859,22100283,1610612741.0,2021,Bulls,Chicago,48.0,86.0,17.0,34.0,10.0,16.0,13.0,1
46860,22100283,1610612753.0,2021,Magic,Orlando,30.0,80.0,7.0,32.0,21.0,30.0,13.0,1
46861,22100284,1610612754.0,2021,Pacers,Indiana,47.0,97.0,11.0,39.0,9.0,11.0,12.0,0
46862,22100284,1610612761.0,2021,Raptors,Toronto,37.0,89.0,7.0,30.0,16.0,22.0,10.0,0
46863,22100285,1610612737.0,2021,Hawks,Atlanta,52.0,89.0,13.0,27.0,15.0,21.0,12.0,1
46864,22100285,1610612763.0,2021,Grizzlies,Memphis,37.0,91.0,12.0,38.0,14.0,19.0,13.0,1
46865,22100286,1610612760.0,2021,Thunder,Oklahoma City,38.0,94.0,11.0,33.0,12.0,14.0,9.0,1
46866,22100286,1610612764.0,2021,Wizards,Washington,38.0,79.0,10.0,29.0,15.0,15.0,15.0,1
46867,22100287,1610612738.0,2021,Celtics,Boston,34.0,92.0,10.0,34.0,10.0,15.0,10.0,0
46868,22100287,1610612759.0,2021,Spurs,San Antonio,38.0,87.0,6.0,24.0,14.0,19.0,10.0,0
46869,22100288,1610612743.0,2021,Nuggets,Denver,40.0,92.0,17.0,47.0,12.0,14.0,8.0,1
46870,22100288,1610612749.0,2021,Bucks,Milwaukee,46.0,73.0,16.0,33.0,12.0,20.0,19.0,1
46871,22100289,1610612740.0,2021,Pelicans,New Orleans,38.0,89.0,11.0,27.0,11.0,13.0,13.0,1
46872,22100289,1610612762.0,2021,Jazz,Utah,36.0,80.0,13.0,33.0,12.0,18.0,17.0,1
46873,22100290,1610612744.0,2021,Warriors,Golden State,47.0,87.0,12.0,37.0,12.0,16.0,15.0,0
46874,22100290,1610612757.0,2021,Trail Blazers,Portland,36.0,86.0,13.0,38.0,18.0,23.0,10.0,0
46875,22100291,1610612747.0,2021,Lakers,Los Angeles,51.0,102.0,15.0,44.0,20.0,28.0,19.0,1
46876,22100291,1610612758.0,2021,Kings,Sacramento,54.0,120.0,14.0,45.0,19.0,29.0,13.0,1
46877,22100292,1610612750.0,2021,Timberwolves,Minnesota,48.0,96.0,14.0,36.0,11.0,16.0,21.0,1
46878,22100292,1610612755.0,2021,76ers,Philadelphia,39.0,93.0,12.0,34.0,30.0,39.0,16.0,1
46879,22100293,1610612737.0,2021,Hawks,Atlanta,33.0,93.0,9.0,37.0,15.0,20.0,6.0,1
46880,22100293,1610612752.0,2021,Knicks,New York,36.0,82.0,11.0,29.0,16.0,22.0,10.0,1
46881,22100294,1610612751.0,2021,Nets,Brooklyn,42.0,84.0,7.0,23.0,16.0,21.0,20.0,1
46882,22100294,1610612756.0,2021,Suns,Phoenix,41.0,92.0,13.0,38.0,18.0,21.0,12.0,1
46883,22100295,1610612739.0,2021,Cavaliers,Cleveland,41.0,90.0,14.0,39.0,9.0,12.0,13.0,0
46884,22100295,1610612753.0,2021,Magic,Orlando,35.0,88.0,8.0,32.0,14.0,23.0,8.0,0
46885,22100296,1610612741.0,2021,Bulls,Chicago,38.0,81.0,11.0,39.0,17.0,21.0,22.0,1
46886,22100296,1610612748.0,2021,Heat,Miami,37.0,86.0,14.0,40.0,19.0,22.0,10.0,1
46887,22100297,1610612745.0,2021,Rockets,Houston,51.0,95.0,23.0,49.0,21.0,31.0,13.0,0
46888,22100297,1610612766.0,2021,Hornets,Charlotte,48.0,103.0,20.0,50.0,27.0,30.0,11.0,0
46889,22100298,1610612742.0,2021,Mavericks,Dallas,42.0,89.0,14.0,38.0,16.0,22.0,7.0,1
46890,22100298,1610612764.0,2021,Wizards,Washington,45.0,78.0,9.0,24.0,21.0,26.0,14.0,1
46891,22100299,1610612740.0,2021,Pelicans,New Orleans,40.0,93.0,8.0,35.0,17.0,21.0,13.0,0
46892,22100299,1610612762.0,2021,Jazz,Utah,45.0,80.0,20.0,35.0,17.0,22.0,18.0,0
46893,22100300,1610612744.0,2021,Warriors,Golden State,38.0,86.0,17.0,40.0,12.0,22.0,16.0,1
46894,22100300,1610612746.0,2021,Clippers,Los Angeles,32.0,80.0,9.0,28.0,17.0,25.0,24.0,1
46895,22100301,1610612749.0,2021,Bucks,Milwaukee,46.0,90.0,8.0,35.0,18.0,22.0,13.0,1
46896,22100301,1610612754.0,2021,Pacers,Indiana,38.0,92.0,12.0,45.0,12.0,16.0,13.0,1
46897,22100302,1610612738.0,2021,Celtics,Boston,34.0,82.0,12.0,34.0,29.0,31.0,17.0,1
46898,22100302,1610612761.0,2021,Raptors,Toronto,35.0,93.0,13.0,42.0,14.0,16.0,10.0,1
46899,22100303,1610612758.0,2021,Kings,Sacramento,33.0,97.0,9.0,42.0,26.0,37.0,8.0,0
46900,22100303,1610612763.0,2021,Grizzlies,Memphis,50.0,104.0,13.0,39.0,15.0,20.0,9.0,0
46901,22100304,1610612747.0,2021,Lakers,Los Angeles,43.0,86.0,9.0,32.0,15.0,25.0,12.0,0
46902,22100304,1610612765.0,2021,Pistons,Detroit,38.0,89.0,13.0,33.0,17.0,19.0,17.0,0
46903,22100305,1610612753.0,2021,Magic,Orlando,37.0,90.0,8.0,33.0,14.0,18.0,12.0,0
46904,22100305,1610612755.0,2021,76ers,Philadelphia,39.0,97.0,10.0,33.0,13.0,18.0,10.0,0
46905,22100306,1610612743.0,2021,Nuggets,Denver,43.0,74.0,18.0,35.0,16.0,21.0,13.0,1
46906,22100306,1610612748.0,2021,Heat,Miami,43.0,91.0,15.0,44.0,10.0,15.0,9.0,1
46907,22100307,1610612741.0,2021,Bulls,Chicago,53.0,89.0,14.0,30.0,13.0,19.0,10.0,0
46908,22100307,1610612766.0,2021,Hornets,Charlotte,42.0,88.0,18.0,39.0,17.0,21.0,9.0,0
46909,22100308,1610612745.0,2021,Rockets,Houston,40.0,96.0,15.0,46.0,7.0,11.0,13.0,0
46910,22100308,1610612760.0,2021,Thunder,Oklahoma City,31.0,87.0,7.0,43.0,20.0,26.0,12.0,0
46911,22100309,1610612750.0,2021,Timberwolves,Minnesota,36.0,82.0,9.0,35.0,19.0,26.0,13.0,0
46912,22100309,1610612754.0,2021,Pacers,Indiana,36.0,91.0,9.0,37.0,17.0,21.0,13.0,0
46913,22100310,1610612739.0,2021,Cavaliers,Cleveland,45.0,80.0,10.0,19.0,14.0,18.0,19.0,1
46914,22100310,1610612742.0,2021,Mavericks,Dallas,39.0,89.0,12.0,39.0,6.0,15.0,10.0,1
46915,22100311,1610612759.0,2021,Spurs,San Antonio,49.0,92.0,8.0,18.0,10.0,16.0,10.0,0
46916,22100311,1610612764.0,2021,Wizards,Washington,41.0,92.0,9.0,31.0,8.0,13.0,6.0,0
46917,22100312,1610612757.0,2021,Trail Blazers,Portland,42.0,91.0,11.0,31.0,12.0,17.0,8.0,0
46918,22100312,1610612762.0,2021,Jazz,Utah,47.0,89.0,19.0,46.0,16.0,23.0,5.0,0
46919,22100313,1610612740.0,2021,Pelicans,New Orleans,48.0,94.0,14.0,35.0,13.0,16.0,7.0,1
46920,22100313,1610612746.0,2021,Clippers,Los Angeles,37.0,72.0,14.0,36.0,16.0,21.0,15.0,1
46921,22100314,1610612751.0,2021,Nets,Brooklyn,41.0,85.0,8.0,28.0,22.0,25.0,9.0,0
46922,22100314,1610612752.0,2021,Knicks,New York,44.0,91.0,11.0,32.0,11.0,12.0,10.0,0
46923,22100315,1610612761.0,2021,Raptors,Toronto,36.0,91.0,10.0,39.0,9.0,12.0,18.0,1
46924,22100315,1610612763.0,2021,Grizzlies,Memphis,36.0,93.0,10.0,34.0,16.0,19.0,17.0,1
46925,22100316,1610612744.0,2021,Warriors,Golden State,36.0,86.0,14.0,40.0,10.0,14.0,22.0,0
46926,22100316,1610612756.0,2021,Suns,Phoenix,43.0,87.0,12.0,30.0,6.0,11.0,12.0,0
46927,22100317,1610612757.0,2021,Trail Blazers,Portland,41.0,96.0,14.0,42.0,14.0,18.0,10.0,0
46928,22100317,1610612765.0,2021,Pistons,Detroit,29.0,76.0,9.0,35.0,25.0,30.0,18.0,0
46929,22100318,1610612747.0,2021,Lakers,Los Angeles,46.0,92.0,11.0,28.0,14.0,20.0,14.0,1
46930,22100318,1610612758.0,2021,Kings,Sacramento,35.0,79.0,6.0,29.0,16.0,22.0,19.0,1
46931,22100319,1610612737.0,2021,Hawks,Atlanta,44.0,86.0,16.0,33.0,10.0,12.0,13.0,1
46932,22100319,1610612754.0,2021,Pacers,Indiana,44.0,90.0,10.0,33.0,13.0,16.0,10.0,1
46933,22100320,1610612743.0,2021,Nuggets,Denver,39.0,80.0,10.0,34.0,15.0,21.0,14.0,0
46934,22100320,1610612753.0,2021,Magic,Orlando,44.0,81.0,6.0,27.0,14.0,19.0,12.0,0
46935,22100321,1610612750.0,2021,Timberwolves,Minnesota,37.0,88.0,11.0,37.0,22.0,26.0,12.0,0
46936,22100321,1610612764.0,2021,Wizards,Washington,45.0,91.0,10.0,32.0,15.0,21.0,13.0,0
46937,22100322,1610612738.0,2021,Celtics,Boston,33.0,79.0,11.0,28.0,11.0,15.0,13.0,0
46938,22100322,1610612755.0,2021,76ers,Philadelphia,33.0,89.0,8.0,31.0,13.0,17.0,7.0,0
46939,22100323,1610612739.0,2021,Cavaliers,Cleveland,37.0,68.0,16.0,31.0,21.0,23.0,20.0,1
46940,22100323,1610612748.0,2021,Heat,Miami,32.0,85.0,12.0,37.0,9.0,13.0,11.0,1
46941,22100324,1610612749.0,2021,Bucks,Milwaukee,46.0,94.0,14.0,36.0,21.0,26.0,13.0,0
46942,22100324,1610612766.0,2021,Hornets,Charlotte,43.0,87.0,21.0,51.0,18.0,21.0,16.0,0
46943,22100325,1610612740.0,2021,Pelicans,New Orleans,40.0,89.0,13.0,37.0,14.0,16.0,13.0,1
